family,L,shape,kind,observer_id,analysis_role,is_primary_observer,observer_design_version,reduced_coords,r_obs_LLSS,d_clone,d_clone_proper,d_clone_improper,nearest_coset,nearest_orientation,nearest_element_type,nearest_lattice_coefficients,nearest_total_translation,nearest_alpha_deg,nearest_theta_deg,nearest_sense,nearest_element_search_covered,n_candidates_d_lt_1,n_covered_candidates,exclusion_witness_exists,exclusion_witness_coset,exclusion_witness_sense,exclusion_witness_element_type,exclusion_witness_lattice_coefficients,exclusion_witness_translation,exclusion_witness_d,exclusion_witness_alpha_deg,exclusion_witness_theta_deg,exclusion_witness_search,exclusion_witness_source_boundary,reported_0p985_margin,operational_distance_margin,operational_alpha_margin_deg,geometry_margin,threshold_boundary,geometric_status,observational_status
E7,0.85,"{""LAx"": 0.85, ""LAy"": 0.0, ""L1y"": 0.85, ""L2x"": 0.0, ""L2z"": 0.85}",observer,1,primary_observer,True,pilot_v2_reduced,[0.11278702805018147],"[0.2635, 0.095869, 0.357]",0.85,0.85,0.8713572405061968,id,preserving,translation,"[0, 1, 0]","[0.0, 0.85, 0.0]",31.78833061705162,180.0,anti_phased,True,6,6,True,id,anti_phased,translation,"[0, -1, 0]","[0.0, -0.85, 0.0]",0.85,31.78833061705162,180.0,vaudrevange2012,True,-0.135,-0.13480775301220804,21.78833061705162,-0.15000000000000002,False,circles_geometrically_present,excluded_by_published_search
E7,0.85,"{""LAx"": 0.85, ""LAy"": 0.0, ""L1y"": 0.85, ""L2x"": 0.0, ""L2z"": 0.85}",observer,2,primary_observer,True,pilot_v2_reduced,[0.04504442885635738],"[0.2635, 0.038288, 0.357]",0.85,0.85,0.8534423305942686,id,preserving,translation,"[0, 1, 0]","[0.0, 0.85, 0.0]",31.78833061705162,180.0,anti_phased,True,6,6,True,id,anti_phased,translation,"[0, -1, 0]","[0.0, -0.85, 0.0]",0.85,31.78833061705162,180.0,vaudrevange2012,True,-0.135,-0.13480775301220804,21.78833061705162,-0.15000000000000002,False,circles_geometrically_present,excluded_by_published_search
E7,0.85,"{""LAx"": 0.85, ""LAy"": 0.0, ""L1y"": 0.85, ""L2x"": 0.0, ""L2z"": 0.85}",observer,3,primary_observer,True,pilot_v2_reduced,[0.17608175443077442],"[0.2635, 0.149669, 0.357]",0.85,0.85,0.9011680345326738,id,preserving,translation,"[0, 1, 0]","[0.0, 0.85, 0.0]",31.78833061705162,180.0,anti_phased,True,6,6,True,id,anti_phased,translation,"[0, -1, 0]","[0.0, -0.85, 0.0]",0.85,31.78833061705162,180.0,vaudrevange2012,True,-0.135,-0.13480775301220804,21.78833061705162,-0.15000000000000002,False,circles_geometrically_present,excluded_by_published_search
E7,0.85,"{""LAx"": 0.85, ""LAy"": 0.0, ""L1y"": 0.85, ""L2x"": 0.0, ""L2z"": 0.85}",anchor:glide_plane,-1,symmetry_anchor,False,anchor,[0.0],"[0.2635, 0.0, 0.357]",0.85,0.85,0.85,id,preserving,translation,"[0, 1, 0]","[0.0, 0.85, 0.0]",31.78833061705162,180.0,anti_phased,True,6,6,True,glide_A,phased,glide_reflection,"[-1, 0, 0]","[-0.85, 0.0, 0.0]",0.85,31.78833061705162,180.0,vaudrevange2012,True,-0.135,-0.13480775301220804,21.78833061705162,-0.15000000000000002,False,circles_geometrically_present,excluded_by_published_search
E7,0.85,"{""LAx"": 0.85, ""LAy"": 0.0, ""L1y"": 0.85, ""L2x"": 0.0, ""L2z"": 0.85}",anchor:midpoint_symmetry,-1,symmetry_anchor,False,anchor,[0.25],"[0.2635, 0.2125, 0.357]",0.85,0.85,0.9503288904374106,id,preserving,translation,"[0, 1, 0]","[0.0, 0.85, 0.0]",31.78833061705162,180.0,anti_phased,True,8,8,True,id,anti_phased,translation,"[0, -1, 0]","[0.0, -0.85, 0.0]",0.85,31.78833061705162,180.0,vaudrevange2012,True,-0.135,-0.13480775301220804,21.78833061705162,-0.15000000000000002,False,circles_geometrically_present,excluded_by_published_search
E7,1.0,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}",observer,1,primary_observer,True,pilot_v2_reduced,[0.11278702805018147],"[0.31, 0.112787, 0.42]",1.0,1.0,1.025126165301408,id,preserving,translation,"[0, 1, 0]","[0.0, 1.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.015000000000000013,0.01519224698779198,,0.0,True,zero_radius_boundary,no_nondegenerate_circles
E7,1.0,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}",observer,2,primary_observer,True,pilot_v2_reduced,[0.04504442885635738],"[0.31, 0.045044, 0.42]",1.0,1.0,1.0040498006991394,id,preserving,translation,"[0, 1, 0]","[0.0, 1.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.015000000000000013,0.01519224698779198,,0.0,True,zero_radius_boundary,no_nondegenerate_circles
E7,1.0,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}",observer,3,primary_observer,True,pilot_v2_reduced,[0.17608175443077442],"[0.31, 0.176082, 0.42]",1.0,1.0,1.0601976876854988,id,preserving,translation,"[0, 1, 0]","[0.0, 1.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.015000000000000013,0.01519224698779198,,0.0,True,zero_radius_boundary,no_nondegenerate_circles
E7,1.0,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}",anchor:glide_plane,-1,symmetry_anchor,False,anchor,[0.0],"[0.31, 0.0, 0.42]",1.0,1.0,1.0,id,preserving,translation,"[0, 1, 0]","[0.0, 1.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.015000000000000013,0.01519224698779198,,0.0,True,zero_radius_boundary,no_nondegenerate_circles
E7,1.0,"{""LAx"": 1.0, ""LAy"": 0.0, ""L1y"": 1.0, ""L2x"": 0.0, ""L2z"": 1.0}",anchor:midpoint_symmetry,-1,symmetry_anchor,False,anchor,[0.25],"[0.31, 0.25, 0.42]",1.0,1.0,1.118033988749895,id,preserving,translation,"[0, 1, 0]","[0.0, 1.0, 0.0]",,,,False,0,0,False,,,,,,,,,,,0.015000000000000013,0.01519224698779198,,0.0,True,zero_radius_boundary,no_nondegenerate_circles
