case,quantile,s,P_ref,P_imhof,P_gilpelaez,gp_converged,gp_n,imhof_quad_err,imhof_warnings,abs_err_imhof,abs_err_gilpelaez,P_saddlepoint,mc_se,z_imhof,z_gilpelaez,imhof_vs_gilpelaez,imhof_vs_saddle
scaled_chi2_21,0.999,140.39111412468395,0.999,0.9989999997526572,0.999,True,3577,4.080150673044607e-09,0,2.473428128979549e-10,0.0,0.9989995742300288,,,,,
lowrank_diag_unequal_with_zeros,0.001,0.02018625815404585,0.001,0.0010548633051694067,0.001054857834707934,False,6000000,6.298695218042887e-09,0,5.486330516940672e-05,5.485783470793402e-05,0.0010965245414015982,,,,,
lowrank_diag_unequal_with_zeros,0.01,0.09413655502501547,0.01,0.00982173792622637,0.00982173806987302,False,6000000,5.1982401198568255e-09,0,0.00017826207377362978,0.00017826193012697965,0.010281827396680394,,,,,
lowrank_diag_unequal_with_zeros,0.05,0.3186184932953237,0.05,0.04967706431210506,0.04967706808672612,False,6000000,1.130012840988817e-08,1,0.00032293568789494576,0.0003229319132738856,0.05223496756097297,,,,,
lowrank_diag_unequal_with_zeros,0.5,3.612965960539163,0.5,0.5005658615910286,0.5005658336952825,False,6000000,3.6458011255695093e-07,1,0.0005658615910285603,0.0005658336952825138,0.5172958260121358,,,,,
lowrank_diag_unequal_with_zeros,0.95,20.39210276956593,0.95,0.9495533997659691,0.9495537287531646,False,6000000,1.1319337068865039e-05,1,0.00044660023403086946,0.00044627124683538355,0.9493377257230194,,,,,
lowrank_diag_unequal_with_zeros,0.99,34.430925646036485,0.99,0.9900202699146028,0.9900195628035918,False,6000000,3.932377417626855e-06,1,2.0269914602799588e-05,1.956280359183271e-05,0.9898271425951821,,,,,
lowrank_diag_unequal_with_zeros,0.999,55.106451674519796,0.999,0.9989698016019343,0.9989713655966804,False,6000000,2.9128490275565676e-05,1,3.0198398065728327e-05,2.863440331957179e-05,0.9989365718238141,,,,,
bstack_axis1134,0.001,129.26888152061596,0.001,0.0009594141558891267,0.0009594141557500713,True,5692,6.862476288691624e-09,0,,,0.0009671135547787283,3.160696125855822e-05,-1.2840792817399957,-1.284079286139515,1.3905543383430086e-13,7.699398889601588e-06
bstack_axis1134,0.01,215.00234649521133,0.01,0.009851446571963185,0.009851446714726486,True,5692,5.84196554218442e-09,0,,,0.009936198934413169,9.9498743710662e-05,-1.4930181276338736,-1.4930166928087105,1.4276330118079272e-10,8.475236244998366e-05
