family,size_id,L,point_index,is_frozen_anchor,observer_id,reduced_coords,r_obs_LLSS,d_clone,d_clone_proper,d_clone_improper,nearest_coset,nearest_element_type,nearest_alpha_deg,nearest_theta_deg,n_candidates_d_lt_1,exclusion_witness_exists,geometric_status,observational_status,prior_weight,shape
E7,L1.20,1.2,4,False,4,[0.0789],"[0.372, 0.09468, 0.504]",1.2,1.2,1.214848636497568,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.20,1.2,5,False,5,[0.1444],"[0.372, 0.17328, 0.504]",1.2,1.2,1.24904116569471,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.20,1.2,6,False,6,[0.203],"[0.372, 0.2436, 0.504]",1.2,1.2,1.2951308196471891,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.20,1.2,7,False,7,[0.02],"[0.372, 0.024, 0.504]",1.2,1.2,1.2009596163068932,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.20,1.2,8,False,8,[0.062],"[0.372, 0.0744, 0.504]",1.2,1.2,1.2091904068425285,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.20,1.2,9,False,9,[0.09580000000000001],"[0.372, 0.11496, 0.504]",1.2,1.2,1.2218278137282683,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.20,1.2,10,False,10,[0.12860000000000002],"[0.372, 0.15432, 0.504]",1.2,1.2,1.2390555474231169,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.20,1.2,11,False,11,[0.1602],"[0.372, 0.19224, 0.504]",1.2,1.2,1.2600892311261136,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.2, ""LAy"": 0.0, ""L1y"": 1.2, ""L2x"": 0.0, ""L2z"": 1.2}"
E7,L1.50,1.5,0,True,0,[0.11278702805018147],"[0.465, 0.169181, 0.63]",1.5,1.5,1.537689247952112,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E7,L1.50,1.5,1,True,1,[0.04504442885635738],"[0.465, 0.067567, 0.63]",1.5,1.5,1.5060747010487092,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E7,L1.50,1.5,2,True,2,[0.17608175443077442],"[0.465, 0.264123, 0.63]",1.5,1.5,1.590296531528248,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E7,L1.50,1.5,3,False,3,[0.23],"[0.465, 0.345, 0.63]",1.5,1.5,1.6510905486980416,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E7,L1.50,1.5,4,False,4,[0.0789],"[0.465, 0.11835, 0.63]",1.5,1.5,1.51856079562196,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E7,L1.50,1.5,5,False,5,[0.1444],"[0.465, 0.2166, 0.63]",1.5,1.5,1.5613014571183874,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E7,L1.50,1.5,6,False,6,[0.203],"[0.465, 0.3045, 0.63]",1.5,1.5,1.6189135245589863,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E7,L1.50,1.5,7,False,7,[0.02],"[0.465, 0.03, 0.63]",1.5,1.5,1.5011995203836164,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E7,L1.50,1.5,8,False,8,[0.062],"[0.465, 0.093, 0.63]",1.5,1.5,1.5114880085531608,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E7,L1.50,1.5,9,False,9,[0.09580000000000001],"[0.465, 0.1437, 0.63]",1.5,1.5,1.5272847671603356,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
