case,d,residual,residual_ok,box_checked,box_size,box_min,box_ok,cond,sigma_min
180,0.6665568697009547,0.6665568697009547,True,True,36,0.6665568697009547,True,2.5301164140038828,1.0742852110586112
181,0.2835418852739214,0.28354188527392143,True,True,48,0.28354188527392143,True,6.462890067319453,0.36110031364617834
182,0.4015650309839837,0.4015650309839837,True,True,27,0.4015650309839837,True,3.216898064160919,0.8694229578731938
183,0.37711636772814655,0.3771163677281466,True,True,27,0.3771163677281466,True,3.3768763589541853,0.7255156240185948
184,0.39423129123899153,0.39423129123899153,True,True,48,0.39423129123899153,True,5.259038322259993,0.40307649250019195
185,0.6040649396781315,0.6040649396781316,True,True,36,0.6040649396781316,True,2.1047013397248344,1.0223490641274335
186,0.3700140290413373,0.3700140290413374,True,True,64,0.3700140290413374,True,6.723836188587964,0.36061973468037384
187,1.2018570853299275,1.2018570853299275,True,True,64,1.2018570853299275,True,2.200225060480906,1.2484298291815383
188,0.8393703781996202,0.8393703781996205,True,True,216,0.8393703781996205,True,4.379239823178365,0.4600414101596033
189,0.7699852827755963,0.7699852827755964,True,True,48,0.7699852827755964,True,2.0761852924462256,0.8339445972611217
190,1.0073862501770916,1.0073862501770916,True,True,5508,1.0073862501770916,True,20.647669184895264,0.13141130220682465
191,0.20230644933808767,0.2023064493380876,True,True,27,0.2023064493380876,True,3.177449225524385,0.8072405961403395
192,0.8648295901388816,0.8648295901388816,True,True,180,0.8648295901388816,True,3.5167144112337216,0.503898176275152
193,0.6357026938625878,0.6357026938625878,True,True,216,0.6357026938625878,True,5.935206635802043,0.3145001826445949
194,0.4668720913342099,0.4668720913342099,True,True,36,0.4668720913342099,True,3.2283122725388536,0.6700719846801688
195,1.1106916083425131,1.110691608342513,True,True,64,1.110691608342513,True,1.9136315638586974,0.9901243111128348
196,0.8338355710535356,0.8338355710535356,True,True,48,0.8338355710535356,True,1.648804919794407,1.222912435194152
197,0.2762302174898423,0.27623021748984244,True,True,48,0.27623021748984244,True,7.911661193835706,0.3091731056247045
198,0.6207780354748701,0.6207780354748701,True,True,36,0.6207780354748701,True,1.5176024150056802,0.9584967505526835
199,0.3725641163100989,0.3725641163100989,True,True,36,0.3725641163100989,True,3.5610053488968076,0.4874931035932626
