family,shape,d_nearest,theta_nearest,g2_identity_ok,theta_ge_60,nearest_class,all_element_class,agree
E8,"{""LAx"": 1.0959786278283055, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.9763177308329658, ""LCy"": 0.830307773607514}",0.830307773607514,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.42854140841732613, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.1700513969583524, ""LCy"": 0.8002023223689367}",0.4516539898600793,143.18213745287306,True,True,excluded,excluded,True
E8,"{""LAx"": 0.9704299853507485, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.5816825260973075, ""LCy"": 1.1725324303760853}",0.6584959394212023,124.0983526040759,True,True,excluded,excluded,True
E8,"{""LAx"": 0.4328963627322481, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.3183826208380193, ""LCy"": 0.3570165794390009}",0.3184059188288639,178.61375835031512,True,True,excluded,excluded,True
E8,"{""LAx"": 0.8330608554015613, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.4549417892083141, ""LCy"": 0.9346147691643367}",0.48528180732735077,139.26500952524003,True,True,excluded,excluded,True
E8,"{""LAx"": 1.1568461574551274, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.5127548272605269, ""LCy"": 0.5525117507152653}",0.5128616084662988,177.66158021588046,True,True,excluded,excluded,True
E8,"{""LAx"": 0.9351777142968367, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.7186101380712924, ""LCy"": 0.3235015606598292}",0.3235015606598292,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.9019790756967823, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.5093821378213463, ""LCy"": 0.8042644933714189}",0.6455793575707995,104.19010125409334,True,True,excluded,excluded,True
E8,"{""LAx"": 1.026769562236927, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.8155250995880088, ""LCy"": 0.7992853995982194}",0.7992853995982194,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.6478525112407985, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.3519553576081155, ""LCy"": 1.1800700929897565}",0.36559625998649875,148.59867445861659,True,True,excluded,excluded,True
E8,"{""LAx"": 0.5281620937962396, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.5745483032385112, ""LCy"": 0.9438819803062597}",0.6024319318767732,144.99921445279858,True,True,excluded,excluded,True
E8,"{""LAx"": 0.9789739285365344, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.6720511340002769, ""LCy"": 0.9722587780410645}",0.7022930494091164,146.24920605827847,True,True,excluded,excluded,True
E8,"{""LAx"": 1.0576975708573946, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.9058602659982584, ""LCy"": 0.9247143229905044}",0.9247143229905044,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.7904631009179433, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.1287731559025285, ""LCy"": 0.8120868464317628}",0.8120868464317628,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 1.047089469471528, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.1020417216345246, ""LCy"": 0.5213633387212483}",0.5213633387212483,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.848388952595369, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.7835715672765036, ""LCy"": 0.728143163025947}",0.728143163025947,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.7902907819434322, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.1644551353099375, ""LCy"": 0.735246566225785}",0.735246566225785,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.9783545895794059, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.5536394172326466, ""LCy"": 0.39686055521230656}",0.39686055521230656,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.6302251026648624, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.8048154506696561, ""LCy"": 1.1827119223360416}",0.800172962585479,103.92564326093809,True,True,excluded,excluded,True
E8,"{""LAx"": 0.8663906632658254, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0431155846138367, ""LCy"": 1.1594209512073734}",0.9320789249165649,136.72178388766858,True,True,excluded,excluded,True
E8,"{""LAx"": 0.5125434036719134, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.8401946161333358, ""LCy"": 0.5309696396006035}",0.5309696396006035,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 0.7541686039485155, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.7861845470693722, ""LCy"": 0.31273049793605984}",0.31273049793605984,180.0,True,True,excluded,excluded,True
E8,"{""LAx"": 1.147259747818171, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 0.4234241371740654, ""LCy"": 0.9144676689153264}",0.750521062434596,68.6898425519368,True,True,excluded,excluded,True
E8,"{""LAx"": 0.93274152016218, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.176540084256167, ""LCy"": 0.45982682632370586}",0.45982682632370586,180.0,True,True,excluded,excluded,True
