sample,axis_3072,axis_1536,antipode_of_3072,same_plane,Sp_diff_axis_vs_antipode,S_min_3072,S_min_1536
fresh_272,1298,1298,1778,True,0.0,353.2003173828125,353.2003173828125
fresh_273,1128,1128,1928,True,0.0,290.1372985839844,290.1372985839844
fresh_274,1291,1291,1771,True,0.0,267.5646667480469,267.5646667480469
fresh_275,32,32,3032,True,0.0,323.1643981933594,323.1643981933594
fresh_276,241,241,2851,True,0.0,426.3868103027344,426.3868103027344
fresh_277,111,111,2973,True,0.0,413.6266174316406,413.6266174316406
fresh_278,1487,1487,1583,True,0.0,320.39208984375,320.39208984375
fresh_279,1444,1444,1604,True,0.0,389.6971740722656,389.6971740722656
fresh_280,751,751,2319,True,0.0,380.7236022949219,380.7236022949219
fresh_281,324,324,2746,True,0.0,484.1960754394531,484.1960754394531
fresh_282,73,73,2989,True,0.0,344.784423828125,344.784423828125
fresh_283,97,97,2987,True,0.0,384.05426025390625,384.05426025390625
fresh_284,676,676,2372,True,0.0,328.4568786621094,328.4568786621094
fresh_285,111,111,2973,True,0.0,269.4534606933594,269.4534606933594
fresh_286,1036,1036,2028,True,0.0,313.6879577636719,313.6879577636719
fresh_287,109,109,2971,True,0.0,396.5701904296875,396.5701904296875
fresh_288,0,0,3070,True,0.0,390.369140625,390.369140625
fresh_289,1078,1078,2006,True,0.0,486.7021484375,486.7021484375
fresh_290,19,19,3049,True,0.0,370.185302734375,370.185302734375
fresh_291,586,586,2474,True,0.0,366.25799560546875,366.25799560546875
fresh_292,1188,1188,1860,True,0.0,274.7012023925781,274.7012023925781
fresh_293,131,131,2931,True,0.0,479.5306396484375,479.5306396484375
fresh_294,270,270,2790,True,0.0,342.8440856933594,342.8440856933594
fresh_295,33,33,3033,True,0.0,306.4502258300781,306.4502258300781
fresh_296,1208,1208,1880,True,0.0,255.01170349121094,255.01170349121094
fresh_297,955,955,2139,True,0.0,481.449951171875,481.449951171875
fresh_298,460,460,2602,True,0.0,235.78184509277344,235.78184509277344
fresh_299,173,173,2903,True,0.0,400.23382568359375,400.23382568359375
fresh_300,773,773,2277,True,0.0,332.9443664550781,332.9443664550781
fresh_301,125,125,2957,True,0.0,206.06788635253906,206.06788635253906
fresh_302,149,149,2915,True,0.0,313.081298828125,313.081298828125
fresh_303,1359,1359,1711,True,0.0,332.7892150878906,332.7892150878906
fresh_304,207,207,2859,True,0.0,383.6214294433594,383.6214294433594
fresh_305,138,138,2938,True,0.0,394.0171813964844,394.0171813964844
fresh_306,1322,1322,1738,True,0.0,395.0090637207031,395.0090637207031
fresh_307,984,984,2104,True,0.0,421.31927490234375,421.31927490234375
fresh_308,16,16,3058,True,0.0,299.3702087402344,299.3702087402344
fresh_309,107,107,2969,True,0.0,288.82159423828125,288.82159423828125
fresh_310,1165,1165,1901,True,0.0,387.29290771484375,387.29290771484375
fresh_311,1305,1305,1785,True,0.0,325.1786193847656,325.1786193847656
fresh_312,199,199,2891,True,0.0,413.913330078125,413.913330078125
fresh_313,746,746,2314,True,0.0,350.66851806640625,350.66851806640625
fresh_314,853,853,2229,True,0.0,394.0379943847656,394.0379943847656
